Movie Title,Review-Title,Review-Description
Migration (I) (2023),Family Friend,"The typical laidback light hearted fun family film! I love it a lot! The characters get plenty of screen time, no one gets left out or not a chance to shine. The flight scenes are beautiful and the animation for the flying is pretty stunning as well you can really sense the weight when they fly If that makes any sense. The character designs are great. So many different locations they visit it's interesting to see how different they all look, the scenery is neat to look at. Also all sorts of bird species they meet along the way of many shapes and size if you're a fan of birds you'll definitely enjoy this film!"
Migration (I) (2023),Could have been almost good,The first seconds are good and feels creative with the 2D sequence and adult jokes. But then it starts becoming just another Illumination film with annoying characters while taking stuff from other films like Rio (which Chris Meledandri right hand Carlos Saldanha directed) the migrating plot promoted in advertising is almost non-existent as they are already in New York in just 2 seconds after they leave their home. The Jamaican accent stereotyped red parrot character is extremely annoying and only serves as device for the No-Rio third act sequence and the villain just randomly decides to kidnap birds in a helicopter after some ducks messed up with his kitchen.
Violent Night (2022),A Bit of a Boring Night,Not sure how this film managed to be so boring but it didn't really entertain. The premise is flimsy and the action is a bit dull. Just lots of gore and body parts being thrown around for dramatic effect. It's slightly funny in places but nothing to write home about. The acting is so so and the written characters are extremely cliche. The young actress in it looks a bit 13 and they're treating her like a toddler one minute and than an adult who can deal with visceral bloody scenes the next. There's not enough cohesion for me. I know what they were trying to do here but they missed the mark.
Violent Night (2022),Disappointing!,"So this film ranges from an average action flick to an awkward mess. The Santa sequences were the only redeeming part for me. David Harbor really captured the disgruntled Santa character well. When he is alone on screen or facing off against the antagonist, the film is quite fun. However, the film's other characters are just abysmal. I get that the film is going for a mean-spirited character type thing, but it just doesn't work. The rich family was just irritating, except for maybe two characters. I wasn't interested in seeing them be saved. Furthermore, the villains tried to go for an over-the-top type style, but a large majority of their dialogue is just cringeworthy. I feel like if they'd explored the conflict of overwhelming wealth versus impoverished burglars, it might have worked a bit better. I mean, making the villains selfish murderers just seemed like a way to shove in more violent acts. But that's just me, maybe. Overall, I would suggest maybe skipping this one unless you are super interested in the concept!"
Violent Night (2022),Loved this. Fun action packed christmas movie,"Violent Night completely surpassed our expectations, it was a really good time - highly enjoyable and lots of funny moments. David Harbour is great in the role and really brings it to life. The action looks good, it has fun and innovative fight scenes, and just enough blood to satisfy your desire for the bad guys to get their comeuppance. It's good for teens and above - I have a feeling younger kids may find the fights a bit too bloody - but could be a really good family Christmas movie. I'd happily watch it every Christmas and make a tradition out of it. If you like Die Hard you'll probably like this."
Violent Night (2022),"Ho, Ho, Holy sh--","'Violent Night (2022)' is surprisingly earnest in its themes of Christmas magic and rekindling your Christmas spirit. What initially seems like a sardonic anti-Christmas movie soon reveals itself to be genuinely interested in spreading Yuletide cheer, although that's not to imply it doesn't also feature all the brutality, bad language and bodily fluids its concept promises. Merging 'Die Hard (1988)', 'Home Alone (1990', 'Bad Santa (2004)' and 'John Wick (2014)' (or, perhaps more accurately, some of its lesser imitators), the piece provides a stockingful of festive fun despite its undeniably derivative nature. David Harbour and John Leguizamo make up for the cast's general lack of charisma, as they're eminently watchable and sell even the silliest of dialogue. Though the piece is certainly self-aware, it's also really sincere and it establishes a strong sense of character for its central figure. In fact, Papa Noël actually has a relatively convincing character arc which prevents his inclusion from feeling as half-baked as it may initially seem. Although the flick sometimes comes closer to feeling like 'Paul Blart: Mall Cop (2009)' than 'Die Hard (1988)' (particularly when it comes to most elements not directly associated with Santa), it features plenty of well-choreographed and exciting set-pieces that revel in all the gory mayhem you could want. The action never rises to the level of something like 'John Wick (2014)', but it's better than a lot of similar American stuff and it continues the welcome post-'Wick' trend of having clean camera work that favours wider compositions. The movie is really fun when it gets going. It has a few issues here and there, and it's arguably a little too sappy for its own good, but it's an entertaining actioner with a strong central performance and several accomplished set-pieces."
Violent Night (2022),Die Hard Meets Home Alone Meets Friday The 13th!,"""Violent Night"" is a satirical, extremely violent dark comedy about the ""real"" Santa Claus looking to save a little girl and her family as they're being held hostage by a group of military trained criminals. David Harbour is simply perfect as the bad ass Santa gone all out wild on the criminals. Just imagine ""Die Hard"" meets ""Home Alone"" meets Jason from ""Friday The 13th"" movies, add tons of violent gory deaths with tongue firmly planted in cheek and you'll get an idea what this movie is all about. This is not masterpiece theater so if you're expecting something profound, please look elsewhere. ""Violent Night"" is good holiday gory fun and those of us who enjoy this type of humor (pitch black humor) will certainly enjoy it very much! 9 out of 10!"
Violent Night (2022),"HO HO HO Holy Mother, that was fun!","Isn't it fantastic when everything you love nicely comes together? Especially around Christmas! What I like to do most during the holiday period is watching at least one - preferably more - Christmas horror movies, but the two mainstream non-horror Christmas movies that I've seen the most (that everyone has seen the most, for that matter) are ""Die Hard"" and ""Home Alone"". ""Violent Night"" may not be a genuine horror movie, but it's excessively violent for sure, and - moreover - it's a love letter to the two aforementioned cinematic Christmas landmarks! Tommy Wirkola, who brought us the refreshing ""Dead Snow"", goes mainstream with this thrill-ride of an actioner about Santa Clause - the real one - battling a small army of evil scoundrels and protecting a cute girl and her rotten wealthy family during a heist/home invasion. It's not very original, it's not particularly sophisticated, but it sure is a lot of fun. Certain ideas and gimmicks in the script are genius, like Santa having a Viking background, the casting of Beverly D'Angelo as a loathsome hag of a matriarch, or the killing of thugs with Christmas attributes like candy canes or electric lights. Other parts are clichéd and/or sentimental (but mandatory), like the overlong ""true meaning of Christmas"" conversations, but that's just a minor default. The ""John Wick"" type of battle in the bar is déjà-vu but nonetheless exciting, especially because it's to the cheesy tones of Bryan Adams' ""Christmas Time"". There are other jolly great songs on the soundtrack, like from Slade and Burl Ives, and a great role for John Leguizamo as über-villain ""Scrooge""."
Violent Night (2022),Awesome santa. Better than expected. Unnecessarily gory,"Is definitely NOT for under 13. Have many weird comebacks, yet enjoyable, to Die Hard and Home Alone combined. David Harbour delivers an excellent rendition of a Santa really worthy yo be a Mortal Kombat One character; John Legizamo is excellent too
After a thousand gunshots the movie somehow still hold many plot holes (pun intended), but who cares when you are enjoying Finish Him combos. The only really bad part is trying to make an action movie and go with the trend of extra violent extra gory extra ketchup blood sprinkling all over the camera and limbs and heads rolling around. I will enjoy it one more time some other christmas in the future."
Violent Night (2022),"Good concept, terrible script and execution","It's always terrible when you see a concept that has potential, but then is destroyed by the script and by the directing. This film is precisely and instance of that. Home Alone has more actual violence than this. Sure, Violent Christmas has violence and gore, but it's not truly violent, because there is nothing at stake, it's empty of thrills and its so incredibly dumbed down and bland that only a very very specific public will find this good. The gore is not shocking at all, the psychological violence is null, and the characters have lines that are trying to pay tribute to Die Hard or Home Alone, but just sound like they were written by a 5 year old. There is good stupid and bad stupid and this is clearly in the bad camp. Good concept, absolutely terrible execution. Makes you wonder if the script is actually good, but then the studio came in and completely destroyed it. This film could easily be PG-13, it doesn't offend or shock anyone more than home alone does. Pathetic waste of money and a good idea."
Violent Night (2022),Die Hard when Home Alone with Santa Clause,"This movie turned out suprisingly entertaining. It was much better than I expected. I ignored this movie for a few weeks but when I saw reviews in IMDB, I decided to watch it. And I'm glad I did. Think of this as amalgamation of Die Hard, Home Alone & Santa Clause movies. It is a very different take on Santa. A Santa whose inner animal has been unleashed. And while it is gory in many areas, it never truly takes itself seriously. The movie has plenty of comedy thrown here and there. Some good, some terrible. But all-in-all, it was entertaining. So, if you don't take this movie seriously and accept it for what it is - ie. Pure mindless entertainment - then you won't be disappointed. SUMMARY: A different take on a Christmas movie and Santa Clause. It's entertainment not for kids."
Violent Night (2022),Mainly a GORE fest,"If you like Gore and action more than storylines I think you'll love this. The guy who played Santa was fantastic! He displays a depth of emotions. He truly cares about people. He's also a troubled soul, which makes him very relatable. He can also really kick his ass which is really fun. Lol This was entertaining enough that I didn't need to pick up my phone while watching it But there was quite a bit of character development with the hostages and we didnt get a Resolution of any kind with any of them when the movie ended. By the time the movie ended I really wanted to know what was going to happen with the relationships of the hostages, and we didn't get resolution with any of them. They all got to live, and Santa rode off on his sleigh, and the movie was over This was one of the most OVER THE TOP GORY violent movies I've ever seen next to that World War II tank movie with Brad Pitt and Shia LaBeouf. The home alone gimmicks added up to about not even five minutes of the movie The biggest theme of the movie are the diehard references, but it wasn't enough to make this movie a classic or a new favorite I love die hard, and I wish there was actually a lot more specific diehard references This movie went for Gore over a great storyline or great characters or great side characters It doesn't even hold a candle to die hard, which is one of my all-time favorites."
Silent Night (2023),A good story but a bad movie,"The actting is awful with so many nonsense moves. He modified that useless Mustang and added 4 exhaust?? Seriously? Why would anyone do that? First, it appeared with Two exhaust pipes but when he went to fight we saw it with four exhaust. In one fight scene he stabbed with a knife in the leg but he walked normally after that. And for not killing the lady with that evil laugh when he got the chance would anyone just tell me why? What's the point? Overall the movie got a great idea but the tried to do it John Wick way and they ruined the whole thing. They can make a second season with a better cast."
Silent Night (2023),Poor Man's Law Abiding Citizen,"This film was a poor man's Law Abiding Citizen (at best). The film jumps straight into the mute protagonist in some sort of chaotic scene. The next 25 minutes is the main character mourning a child we've never seen who was killed in the crossfire of an unknown gang war. Cheap and tacky feel during the first 1/3rd of the film with no character development or character bonding possible from the audience. Due to the lack of context around the characters themselves. 2/3rd of the film is the standard montage of the protagonist suddenly training to become a killing machine in his garage. Final 3rd is the inevitable killing spree. Very bizarrely they choose to make everyone else mute. Because the protagonist is mute, as some kind of suspense/bonding tactic by the creators. But it just makes no sense."
Silent Night (2023),Boring. No white doves,"Really boring. Had to fast forward so many times... The main character is hollow despite a much too long introduction. He has no consideration for his wife and is a living cliché, so to speak. It reminded me the Charles Bronson Death Wish movies. It's as bad, just visually better. John Woo needed money but wasn't interested, obviously. Joel Kinnaman has been better. And the story requires more than a suspension of belief. Steven Seagal movies could feel realistic compared to this one. It's a mockery of an action movie, without any humor or irony. Just very bad. Such a disappointment... Not recommended."
Silent Night (2023),"Well it's no Die Hard. Or Face Off, come to think of it...","The question: Can John Woo sustain interest in an Christmas-set action movie conducted almost completely in silence? The answer: Not really, no. But he certainly gives it a bloody good go, and after the tedious first half when our grieving father (who has his voicebox blown out early, hence the title) trains himself to be a superman to avenge his dead son, there is a number of impressive fight scenes during the intense climax involving cars, guns, martial arts, knives... the works. To get there though, you'll have to wade through a whole load of soapy melodrama involving the deceased kid and the protagonist's non-existent chemistry with his wife. What makes it even more tough is the aforementioned absence of proper dialogue from the movie, so it's very hard to relate to this couple who can't even properly communicate their feelings to each other. Oh well. I can't help thinking the film would've been better if they'd ditched the stupid 'silence' gimmick and just done a straight action flick. Plus a bit more humour would've be nice... apart from the bizarre opening sequence involving hero wearing a Rudolf jumper whilst chasing the bad guys, there's not much funny here at all. 5/10 mostly for the last half-an-hour or so... once you get there, decide for yourself if it was worth it or not."
Silent Night (2023),Probably best Kinnamon doesn't speak,"I'm sure there is a great actor in there somewhere just waiting to come out, but we have yet to see it I fear, and I so want him to be good. Unfortunately this isn't the time it happens. Whilst you maybe expecting a Robocop 2 style film to follow on from the first remake, you will be disappointed. Largely unrealistic, a run of the day sparky turns himself into John wick overnight. Ok a Temu version of John Wick! Expect lots of action scenes, but then get disappointed when they last a few seconds and your back to the main chara ter going through a Rocky 4 style training programme in his garage to emerge, well, not rocky. Just slightly better than your next door neighbour learning a bit of judo twice a week at the local YMCA. Could have cut out half the film which concentrated on the main character teaching himself how to fight and drive from you tube....we get it! Move on. Although you could have just skipped it all and muddled your way through killing all the bad guys without the training, trust me it didn't make much difference. Definitely a try hard movie, not altogether terrible just slow uninspiring. I'd rather have it been robocop 2 with kinnamon again as at least it's a take on a classic."
Silent Night (2023),No Dialogue? Challenge Accepted Says John Woo!,"I had intended to watch this movie in theaters, but there were too many other movies I chose to pay for in theaters and missed out. It may have been good I did. I finally saw this on a streaming service and I was blown away. First, I usually run my sound system at level 20. I thought my ears were messed up and turned it to 25 and still heard very little. I had no idea this movie has nearly no dialogue. While movies have been able to pull this off for effect and purpose, I don't see why no other character in the movie could say anything. Lots of texting and sign language. I guess John Woo was challenged to direct a movie with no actual dialogue. Second, this movie, while cliche to the max, could have been way more entertaining. Everyone loves a revenge / payback movie. However, this was a complete mess. The storytelling was all over the place, and without anyone actually talking, you, the viewer are left trying to learn how to read body language and texts. Third, this is a huge drop off for both Kinnaman who I loved in Altered Carbon Season 1 - IMO, the best single season in Sci-Fi TV history, and John Woo who directed Face / Off. Lastly, the ending of this movie was more of a comedy than anything. I really don't know if John Woo was trolling the studio for the ending or what. The action scenes were ok, but the rest of the movie was a complete mess. The only positive is it's only around 100 minutes so you can watch in one sitting."
Silent Night (2023),Not sure there are any redeeming points to this film.,"I generally like Joel kinnermans films, good solid actor and funny too. I think I thought this was going to be a Death Wish type movie, and have no issues with revenge vigilante films. This was definitely not what I thought. Violent, tick, story, well there is story, so tick. But ultimately this is a grim, grim film of a man in pure raw grief. Could never have a happy ending. In many ways it reminded me of 3 Billboards..... A great film, but half way through you realise that Frances mcCormand would get her revenge but never get her daughter back. We made it to the end, but it's 1 hour 44 minutes of my life that I can never get back. Nothing wrong with the activity, but a grim movie that I (and husband) disliked intensely. You have been warned."
Silent Night (2023),Poor excuse for writer's block,"If you can't think of anything to write perhaps don't attempt a feature length movie. This is just another gimmick in the last few years that has been tried as everyone is struggling to come up with new ideas. Maybe black and white films will make a come back next year. I like Joel, but here he is about as hamstrung as an actor can be agreeing to be in a film without dialogue. There has to be some sort of savant film maker to be able to pull this off, and Woo is more of an action director, and it just doesn't work. Sadly, even if you add in a script and additional veteran actors this is still a mess as the story is just simple. Hard Pass."
Silent Night (2023),A Swing and A Miss,"The relationship and love of the father and son are beautifully depicted in this awful film. Unfortunately, that's ALL that's good, wholesome, right, meaningful or even believable in this bloody, violent, waste of film. Totally EVERYTHING else is complete crap. According to.the Merriam-Webster online dictionary, the primary meaning of the word ""gratuitous"" is:
""1 : not called for by the circumstances : not necessary, appropriate, or justified : UNWARRANTED"" The ridiculous car scenes, gunfight scenes and gang-war scenes in this 104 minute dreck lend a whole new meaning to the phrase ""gratuitous violence"". More like TOTALLY not called for, COMPLETELY not necessary, VERY inappropriate and ABSOLUTELY unjustified. Blood, gore and violence merely for the sake of blood, gore and violence and not the least bit entertaining.. It's a darn shame because the main theme of the movie (a father's revenge against his sons killers) coulda, woulda and shoulda made a great film. Unfortunately, in THIS incidence, it didn't."
Silent Night (2023),Not your Mommas Woo.....,"A tormented father witnesses his young son die when caught in a gang's crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life's mission and embarks on a punishing training regimen in order to avenge his son's death...... 20 years later, and Woo finally comes back to Hollywood, and the first thing I thought after watching this was.......why bother? When he first arrived in Hollywood for his first ten year stint, he made two excellent films, and three decidedly average. You can guess what the two great films were, as the others were Paycheck, Windtalkers, and Broken Arrow. But even those three look like The Killer compared to this rubbish. Kinnamen watches his son die, gets shot in the throat, and works out for a year. That's eighty percent of the film. And bless him, I know he's lost his son and everything, but there's no need to be such an unlikeable person, it makes the audience not really care for you. With Woo, it's a given that you expect some really good action choreography with his set pieces, and this had all the potential to be something special, but the alarm bells were ringing when the trailers stated 'from the producers of John Wick'. With a director with the calibre of Woo, it didn't need that added sell, action aficionados know who Woo is, and what he's capable of, so I know i'm not the only one who will be disappointed. There was one instance toward the end, which lasted for about four seconds, when I felt that Woo magic, but then a week later, I saw Hard target and The Killer again, and it reminded me of what a master he once was. This most definitely isn't it. What an ironic title."
Top Gun: Maverick (2022),Thank You Tom Cruise!!!,"Dear Tom Cruise, Thank you so much! Your performances are always a guarantee for top-quality and exceptional movies. I truly believe you are the best in the industry! The film ""Maverick"" was nothing short of FANTASTIC! :) You are, without a doubt, the greatest, and I sincerely hope you continue to create more movies like this. I greatly miss them! Also, a huge thanks to everyone involved in the movie, even in the smallest roles. Your collective efforts have created something truly GREAT. I mean it from the bottom of my heart
-. THANK YOU, THANK YOU, THANK YOU, THANK YOU!!!! Warm regards, Aron."
Top Gun: Maverick (2022),Awesome,"So good loved it. Love the plot and everything. It was the perfect amount of action, and you really just could connect with each character. A great movie for action lovers. This movie really puts you in the edge of your seat. It was done so well. 10/10 One of the best action movies I've seen in a long time. So if you are looking for a cool movie to watch with your action loving family I would 100% recommend this movie. It is just pure action no gore and other stuff. Just a great action movie. But there is also just enough not action where you get to know the characters and get to feel like your in the movie."
Top Gun: Maverick (2022),Nailed it!,"It is rare for a sequel / reboot to be this good, but they absolutely nailed it! The plot was interesting and believable, the acting was awesome, the soundtrack was incredible and the action scenes were just spectacular! I particularly liked how they handled the scene with Iceman in terms of Val Kilmer not being able to talk due to real-life medical issues. Considering Kilmer said very few words, it was a very emotional and poignant scene indeed. There are quite a lot of callbacks to the original Top Gun movie, so it's beneficial to have watched that before watching this one - you will get the most out of it if you do. But for youngsters who haven't seen the original, this is still a fantastic movie in its own right. They really did a fantastic job with this movie. Watch it!"
Top Gun: Maverick (2022),A distant sequel that respects and surpasses the legacy of the original,"Given that the original film is such an iconic piece of american cinema released in the height of the 80s and the launch platform of superstar Tom Cruise, making a sequel seemed a daunting task and at times an unnecesary one, but this film proves otherwise as the final product is a masterfully crafted movie that respects the original film and is able to surparsse it in every aspect: production,acting, dialogue,etc. In order to fully appreciate this movie, a theather is neccesary as it is the only tool that conveys adrenaline Rush of an aerial dogfight. A passion project in Tony scott's memory."
Top Gun: Maverick (2022),Borders on good but far from a classic,I could not brow an emotional attachment with the characters in this film as I did with the first one. Tom Cruise carries the movie most of the way through but you could near say with a bunch of cliche scenes that were a throw back from the first movie. I could say that the movie felt slapped together more for a cash grab rather than put together a great follow up script from part 1. It was the usual script where they throw the manual out the window and let's do it the way that would get 99% thrown out of a training school whether it be a teacher or student but it's ok for Maverick to work right outside the laws that everyone else is given and get away with it with no action taken. I liked two scenes in it and one was when Tom was initially in the bar and saw his ex wingman's son playing the piano and the scene where he met up with Val Kilmer. The rest was predictable and nothing new added to the story from part 1. It was good but I really felt it was more of a let's run the 2nd movie to grab some extra cash rather than bringing anything new to make it more intriguing. Good and I sat through it but wouldn't go out of my way to watch it again.
Top Gun: Maverick (2022),Visually stunning action movie,"Yes offcourse there are clichés. Yes offcourse this is a commericial profit endeaovour. Yes the plotline isn't much. Yes, al lot of unnecessary sentiment and drama. But come on. Appreciatie it for what it is. It is a great, visually stunning action movie. It is hard to say wether it is accurate towards the navy and aviation in generaal. Most people do not know and do propably not care. Respect for tom cruise for being in such fine condition in his sixties. Even if you have no clue of topgun part one, this is still a very enjoyable Watch. Go Watch it on a big screen if possible, it adds up to tegen effect."
Top Gun: Maverick (2022),Boom bang crash,"This is a typical American overproduction. It proves that if you throw enough cash at it, you can make any film spectacular. And truly, the special effects are stunning, time and again. Other than that: this movie contains just too much nonsense. Too much coincidence, over-the-top displays of heroism and plots that keep on repeating themselves
Yet, it's difficult to get bored, watching this movie. Of course, they throw in the mandatory romance although it has nothing to do with the facts at hand. Being totally honest, you'll have to admit that you wouldn't have lost anything worthwhile if you missed this movie. It's just another costly time-waster."
Top Gun: Maverick (2022),Needed less cliches and to be much shorter,"While the nods to the original were lovely and all, there were WAY too many and it bordered on ridiculous in some parts. Added to which, the film was unnecessarily long - primarily in scenes that were paying ""homage"" to the first. That said, the film had merit and the final part of the movie is super cool and definitely worth the wait. Seeing Val Kilmer, despite his limitations die to his cancer, was magnificent. Could have done without the Ice Man lookalike though. That said... the actor selected to play Gooses son was fantastic! He looked so similar and had the same swagger. No wonder Anthony Edwards was happy with the choice!"
Top Gun: Maverick (2022),A fine sequel.,"A terrific thrilling film which works its socks off to entertain you. Technically its spectacular the sound design conveying the awesome speed and power of aviation, the cinematography and cockpit footage is second to none and leaves you baffled how they achieved it. The new group of characters are memorable and the film does a good job at developing them and their stories while also allowing Tom Cruise to still shine in the lead role. The film has some nice call backs to the original but it's more just a just a repeat of the first movie. The film is pretty fresh these days in being very unapologetic and patriotic in it's themes and imagery. While it's a pretty great film there's a few moments where it tries a bit too hard to pay homage to the original, it also had me think it pushed things a bit too far towards the end that I didn't quite believe it. Overall though a fine entertaining movie with some amazing aviation scenes and Tom Cruise giving one of his best performances."
Top Gun: Maverick (2022),Totally Predictable and out of time,"I really don't understand all the fuss around this sequel. It's completely predictable, in every scene, by anyone (even by a child). I grow up but Tom Cruise hasn't and he's ridiculous acting like this. That's Peter Pan syndrome, man! The movie is also unnecessarily long. I do acknowledge that I enjoyed the first Top Gun more ALSO because I was younger and less ""demanding"", but at least that movie was brand new and in line with those years. This one is not, it's out of time, no matter the efforts to update it If that's the best Hollywood can offer nowadays, then it's a well deserved epitaph. Maybe directors (and actors) shouldn't go on strike against AI, but rather prove themselves still capable of something either good and new. So definitely not Too Gun Maverick!"
Napoleon (2023),not worth watching,"Napoleon somehow manages to be too long while at the same time missing important details, perhaps this story would have been better adapted into a TV show like HBO's Rome? I went into this film expecting at least some level of historical accuracy, but obviously the 100 days and especially the battle of Waterloo have their significance blown way out of proportion. Not actually tying much together in the form of history, the movie is instead a montage of some famous battles and Napoleon's marriage troubles. However, the lack of politics (aside from the absolutely disdainful portrayal of Robespierre) and shoddy history can be chocked up to my own preferences. Aside from that, the film is not very interesting in its own right. Most biopics can make up for their blandness by at least being historically accurate or interesting, but Napoleon is a snoozer full of Hollywood tropes. Even Phoenix, who is a great actor, just can't shine in this role. At least some parts of the movie made me laugh, but overall it's not bad enough to be considered a comedy, especially with its excessive runtime. Just bland, and not worth watching."
Napoleon (2023),"Good but should have been great, epic truthfully","I went through the reviews and almost skipped the flick, glad I didn't but I agree with many of the complaints. I'm a big fan of Scott & Phoenix, but yeah, the kind magic that happened in good ole' Gladiator didn't happen here sad to say. Many of the negatives pointed out are legit, some are more of nitpicks really and thus exaggerations and then there are bent history buffs complaining. Here are the 3 biggest negatives as I see them with some commentary about them: 1. Lack of emotion, passion & tension - This is probably the biggest flaw as it really ratchets down enjoyment, even in battles which is crazy. These should have been glorious tense exciting feats or defeats; instead all we got were great visuals and well-choreographed battles. Even just a celebration after would have helped, nope, hard to care the way they were portrayed, not even a single outburst in the entire flick. To drive this home a little more, here we have one of the greatest & most famous battle commanders of all time and what we see from him is essentially an arm signal during battles? Epic fail right there. Outside of battles unfortunately it shows and stings even more, even in his marriage which makes up about half the film. In the films 1st 20 mins Phoenix is completely catatonic which I put on him. He then relaxes somewhat in the role but unfortunately this demeanor is still there throughout the entire film, which I put more on Scarpa & Scott. We finally do see a little emotion from Nappy when he is confronting Josephine about one of her misdoings but even there he's largely flat. I mostly blame the screenplay for all this but truth is Scott & Phoenix share some blame here too. Even the score is at fault, it could have easily added some tension to many scenes and instead it completely fails to do so. 2. Nappy's missing character - Many have gone on about the historical inaccuracies of which there are but to me the bigger flaw is the incomplete portrayal of one of World's greatest Military Masterminds. There really were no big historical departures, the film followed along his timeline close enough, yes things were embellished in places its fairly rare movies don't do this for the big screen to some degree. So what we do see is a very uncharismatic military officer who somehow manages to rise through the ranks, gain the admiration of many and eventually become Emperor? That doesn't jive really. Those who have read up know he had insecurities and even social awkwardness, but come on. He was not one-dimensional like we seen by any stretch and what was left out were his more interesting qualities; like the highly intelligent passionate hard working persuasive confident leader with an undying ambitious determination who could easily inspire thousands to follow him. Read some of the first-hand reports about him, it's absolutely criminal that we didn't see any of this side of him, and the movie would have been SO MUCH BETTER if we had, and that goes right back into point 1 I made as well. Many are blaming Phoenix here and while I'm not letting him totally off the hook this ultimately falls on Scott no matter how the script was written and how it was acted. It's his film and ultimately his decision on how we would see Nappy portrayed. 3. Too much Josephine not enough battle - This comes down to preference somewhat but the majority of people if polled would agree here I'm sure, even though Kirby does a great job in her role and is one of the highlights. At least we could have had more scenes leading up to battles, showing us why the conflicts arose, but a little more battle time would have been nice. Then we could have hopefully witnessed some of his brilliance and why he has been so thoroughly studied by so many, and just look at how the Egypt battle was shown it was pitifully short, terrible. We could of even had a little more Politics, it's hard to overlook the glaring omission of the fundamental liberal policies he implemented in France & throughout Western Europe, and his lasting legal achievement the Napoleonic Code which was adopted in various forms by many of the World's legal systems. No, instead somewhere around 50% of the movie is just focused on his marriage and ultimately it really drags down the pacing, and the movie. ----- I've painted a pretty negative impression of the movie but as I said above I still found it enjoyable, it helped that I lowered my expectations beforehand thanks to some of the reviews here. Its shame Scarpa & Scott took the directions they did it feels like a lost opportunity for a Grand Epic, and in the end I think competently covering his whole political & military career in 1 flick is a bridge too far, which didn't help either."
Napoleon (2023),A character named Napoleon but not Napoleon,"The title says it all. You can do a dramatization of an historical figure if you'd like. But to completely remove all attributes about that figure while leaving the bare essentials to say ""well, it's human"" is just lazy. I read an interview with Ridley before the movie and knew things were bad. He apparently read one book ""before getting tired and having his researcher look into things"". Which is fine, but don't expect people to not call you on being over the hill and burned out when you take an epic written by another great film maker, bad mouth it, then strip it down anyway and use the structure and pop this out. Napoleon and Kubrick must be rolling in their grave. Also Ridley is a knighted Englishman so how he would not have a biased and negative view of this figure is something I've wondered as well. Clearly he hated Napoleon otherwise we wouldn't be sunbhexted to some of these utterly useless and boring scenes of Napoleon basically just breathing (he's usually fumbling or being awkward because Ridley seems to have a pathology to depict him this way). Also in the interview I read in the NYT, Phoenix came to him about 10 days before shooting and admitted he could not play this character as written. And is shows. Because the character is not real. It's a fantasy dreamed up by someone that doesn't like Napoleon. He's a tyrant but incompetent. He's a brilliant tactician and general but does insane things in battle that make no sense. He has massive amount of support and love from the people and troops yet he has no charisma and is almost autistic. No wonder Phoenix could not figure the character out, he never could have. It's a bad movie that seems entirely derivative of the current times in which we live in which we are not supposed to believe in a single individual being capable of changing the course of history. Good or bad, this does happen. And you can't just stand there and breath, you have to act and be the person the time calls for. Napoleon did that. Ridley doesn't want to acknowledge it."
Napoleon (2023),Napoleon - A total disaster in film,"I waited over 40 years for this film, and saw it on full IMAX but what a massive disappointment in almost every respect it was, apart from some good military and social costumes and the cinematography. Ridley Scott has clearly lost the plot, like this film which is so historically inaccurate as to be criminal. No wonder the French hated it as it's a very poor documentary of Napoleon's colourful life. Entire tracts of major historical events are ignored or have been very badly edited out to get this pile of trash down to 2.5 hours and several scenes never even happened. Save your money and watch the epic 'Waterloo' from 1971 instead. It's filmed with (pre-CGI) cast of tens of thousands, with brilliant, accurate battles and the actors are superb, especially Rod Steiger as Napoleon and Christopher Plummer as Wellington. Makes me sad that the brilliant director Stanley Kubrick (a lifelong Napoleonic nut like me) died before he could finally make this film, as he so badly wanted to do. 'Waterloo' is the best film on this subject and still looks great today!"
Napoleon (2023),Embarrassing,"Honestly, absolutely embarrassing depiction of Napolean. They depicted him as borderline simple. The movie is so focused on his relationship with Josephine that it totally disregards his military career, generals and the battle scenes have absolutely no cognisance to the story. Waterloo was such a random scene that it should never have been included!! Shockingly bad movie. Only gave it a 3 incase IMDB disregards reviews that are 1&2. Napolean was an absolute monster in the theater of war and extremely dangerous on the battlefield. He changed the course of history but this movie makes out he needs care. I have no idea why Ridley decided to depict him in this way. DONT waste your money as you will be very dissapointed."
Napoleon (2023),Excellent trailer - not so the movie,"I will not get in to the historical inaccuracies, as in a lot of historical movies history is adapted for dramatic purposes. It is Hollywood after all and especially for big budget movies the goal is to make a lot of money. Beautiful Trailer. My main criticism is the portrayal of Napoleon. Of course all who knew him are long gone and many accounts are subjective, so we have to make do with that information. But I can not imagine that a man who ends up on top after all the chaos of the French Revolution, whose generals and soldiers stay loyal to him after all the battles and blood, wasn't an enormous charismatic man. And that's where the film completely fails for me. You can hate him, admire him, love him, belittle him as Wellington, but the film makes him, and his relationship with Josephine, uninteresting and dull, and as the title is Napoleon, that was my feeling leaving the cinema. A bit more effort of Mr Scott and Mr. Phoenix to know the character and history would probably have added value."
